Name,IGN,No. of Match,Total Rounds,Won Rounds,Lost Rounds,ACS,ADR,Total Kills,Total Deaths,Total Assist,Avg K/D,Kills/Rounds,Avg Kast %,Avg HS%,Win %,First Kills,First Death,Multi Kills,First Kill Average,First Death Average,Multi Kills Average,Discord,Twitter,RR
Rinsat,ACE R1N5aT#rin,72,1508,782,726,249.0,159.81,1331,1173,229,1.2,0.9,71.1,39.5,51.86,281,237,121,3.90,3.29,1.68,r1n5at,RinanSatpute,552
Gauransh,Gauransh#ogg,56,1128,594,534,250.7,161.90,1003,807,259,1.4,0.9,75.2,38.6,52.66,118,85,85,2.11,1.52,1.52,og_auransh,oGauransh,525
Jaggi,Jaggi#rizz,41,833,471,362,278.6,180.36,826,623,255,1.4,1.0,78.5,38.0,56.54,102,62,85,2.49,1.51,2.07,jaggi1998,Jaggival_13,617
Empkid,EMPkido#LOVE,52,1077,550,527,205.8,138.40,790,775,276,1.1,0.7,74.0,37.3,51.07,71,59,59,1.37,1.13,1.13,_empkid,EMPkido,313
Rage,AST Rage#fff,48,990,468,522,215.6,142.51,768,723,225,1.1,0.8,70.0,32.8,47.27,81,73,63,1.69,1.52,1.31,rage7711,RageVLR,413
Smokea,GX SmokeA#USP,44,887,449,438,237.6,156.26,738,655,228,1.6,0.8,75.0,33.5,50.62,101,112,66,2.30,2.55,1.50,.smokea,,476
Silon,silon #666,38,771,386,385,217.1,143.16,593,621,166,1.0,0.8,68.9,27.0,50.06,102,111,51,2.68,2.92,1.34,silonxx,silonnnn,
Batman,NE xBatmaN#diff,39,790,406,384,208.0,138.85,558,620,197,0.9,0.7,69.0,32.3,51.39,95,115,46,2.44,2.95,1.18,rehan27,BatmaNVLR,
Marcai,Marcai#rizz,32,683,354,329,220.8,145.63,544,489,161,1.1,0.8,74.6,30.1,51.83,82,73,40,2.56,2.28,1.25,marcai0818,,629
Synx,CS SynXN0oB#Some1,32,695,338,357,201.8,134.97,489,543,190,0.9,0.7,72.1,37.7,48.63,59,59,37,1.84,1.84,1.16,synxnoob,,286
